Gametype,Firstscore,Secondscore,Winner
SIM17,22,19,C2 Win
SIM17,18,20,C2 Win
SIM17,19,20,C2 Win
SIM17,16,18,C2 Win
SIM17,21,21,Draw
SIM17,20,18,C1 Win
SIM17,21,20,C1 Win
SIM17,19,21,C2 Win
SIM17,16,20,C2 Win
SIM17,17,21,C2 Win
SIM17,18,25,C1 Win
SIM17,18,25,C1 Win
SIM17,18,19,C2 Win
SIM17,18,26,C1 Win
SIM17,23,23,Draw
SIM17,16,19,C2 Win
SIM17,10,0,C2 Win
SIM17,17,24,C1 Win
SIM17,18,18,Draw
SIM17,20,20,Draw
SIM17,17,18,C2 Win
SIM17,16,24,C1 Win
SIM17,25,22,Draw
SIM17,20,20,Draw
SIM17,17,18,C2 Win
SIM17,16,17,C2 Win
SIM17,16,24,C1 Win
SIM17,20,17,C1 Win
SIM17,20,21,C2 Win
SIM17,23,21,C2 Win
SIM17,23,22,Draw
SIM17,18,18,Draw
SIM17,19,17,C1 Win
SIM17,23,12,C2 Win
SIM17,24,17,C2 Win
SIM17,17,17,Draw
SIM17,21,18,C1 Win
SIM17,17,20,C2 Win
SIM17,0,12,C1 Win
SIM17,16,20,C2 Win
SIM17,0,20,C1 Win
SIM17,25,26,Draw
SIM17,19,20,C2 Win
SIM17,17,17,Draw
SIM17,18,19,C2 Win
SIM17,18,18,Draw
SIM17,18,20,C2 Win
SIM17,16,0,C2 Win
SIM17,20,20,Draw
SIM17,17,19,C2 Win
SIM17,16,26,C1 Win
SIM17,16,20,C2 Win
SIM17,24,17,C2 Win
SIM17,0,19,C1 Win
SIM17,19,20,C2 Win
SIM17,20,18,C1 Win
SIM17,16,17,C2 Win
SIM17,13,0,C2 Win
SIM17,16,22,C1 Win
SIM17,20,19,C1 Win
SIM17,16,18,C2 Win
SIM17,20,26,C1 Win
SIM17,19,22,C1 Win
SIM17,25,19,C2 Win
SIM17,22,19,C2 Win
SIM17,20,22,C1 Win
SIM17,17,26,C1 Win
SIM17,22,19,C2 Win
SIM17,16,22,C1 Win
SIM17,24,19,C2 Win
SIM17,17,18,C2 Win
SIM17,17,24,C1 Win
SIM17,22,9,C2 Win
SIM17,18,23,C1 Win
SIM17,16,0,C2 Win
SIM17,17,22,C1 Win
SIM17,21,18,C1 Win
SIM17,19,24,C1 Win
SIM17,20,20,Draw
SIM17,19,26,C1 Win
SIM17,17,24,C1 Win
SIM17,18,20,C2 Win
SIM17,17,24,C1 Win
SIM17,19,23,C1 Win
SIM17,16,20,C2 Win
SIM17,20,24,C1 Win
SIM17,20,25,C1 Win
SIM17,19,24,C1 Win
SIM17,18,24,C1 Win
SIM17,21,21,Draw
SIM17,20,20,Draw
SIM17,16,17,C2 Win
SIM17,18,21,C2 Win
SIM17,25,17,C2 Win
SIM17,18,24,C1 Win
SIM17,9,0,C2 Win
SIM17,24,24,Draw
SIM17,21,17,C1 Win
SIM17,19,26,C1 Win
SIM17,18,25,C1 Win
SIM17,16,17,C2 Win
SIM17,23,22,Draw
SIM17,0,19,C1 Win
SIM17,22,20,C2 Win
SIM17,16,18,C2 Win
SIM17,20,21,C2 Win
SIM17,25,18,C2 Win
SIM17,18,25,C1 Win
SIM17,18,19,C2 Win
SIM17,18,22,C1 Win
SIM17,18,19,C2 Win
SIM17,20,23,C1 Win
SIM17,18,19,C2 Win
SIM17,24,26,Draw
SIM17,19,0,C2 Win
SIM17,16,17,C2 Win
SIM17,17,17,Draw
SIM17,20,19,C1 Win
SIM17,20,21,C2 Win
SIM17,20,20,Draw
SIM17,19,18,C1 Win
SIM17,17,20,C2 Win
SIM17,16,18,C2 Win
SIM17,18,20,C2 Win
SIM17,23,7,C2 Win
SIM17,21,18,C1 Win
SIM17,19,17,C1 Win
SIM17,23,18,C2 Win
SIM17,20,19,C1 Win
SIM17,24,15,C2 Win
SIM17,23,14,C2 Win
SIM17,21,24,C1 Win
SIM17,14,0,C2 Win
SIM17,25,20,C2 Win
SIM17,23,25,Draw
SIM17,19,22,C1 Win
SIM17,16,21,C2 Win
